protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC588572.1.2.m.17892,-0.00689765397424422,0.00929164229021531,No,NA,NA,Q52KI8,NA,NA,NA,nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]; DNA binding [GO:0003677]; mRNA splicing; via spliceosome [GO:0000398]; RNA splicing; via transesterification reactions [GO:0000375],NA,NA,NA
CHOYP_LOC588827.1.1.m.11601,-0.00349669649212218,-0.00812513359664436,No,NA,NA,Q8WV99,NA,NA,NA,anchored component of membrane [GO:0031225]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; proteasome complex [GO:0000502]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; ubiquitin binding [GO:0043130]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein targeting to ER [GO:0045047]; regulation of insulin-like growth factor receptor signaling pathway [GO:0043567]; SRP-dependent cotranslational protein targeting to membrane; translocation [GO:0006616],NA,NA,NA
CHOYP_LOC588883.2.3.m.14590,-0.00531444598720161,0.00514971987823643,No,NA,NA,E9QAT4,NA,NA,NA,cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; organelle membrane [GO:0031090]; perinuclear region of cytoplasm [GO:0048471]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi to plasma membrane CFTR protein transport [GO:0043000]; positive regulation of protein exit from endoplasmic reticulum [GO:0070863]; protein exit from endoplasmic reticulum [GO:0032527]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; response to endoplasmic reticulum stress [GO:0034976],NA,NA,NA
CHOYP_LOC588883.3.3.m.38321,-0.000194742454754523,0.00126481011783713,No,NA,NA,E9QAT4,NA,NA,NA,cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; organelle membrane [GO:0031090]; perinuclear region of cytoplasm [GO:0048471]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi to plasma membrane CFTR protein transport [GO:0043000]; positive regulation of protein exit from endoplasmic reticulum [GO:0070863]; protein exit from endoplasmic reticulum [GO:0032527]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; response to endoplasmic reticulum stress [GO:0034976],NA,NA,NA
CHOYP_LOC588932.3.3.m.35464,0.00933494765685915,0.00861838685391408,No,NA,NA,Q9UMZ2,NA,NA,NA,AP-1 adaptor complex [GO:0030121]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886],NA,NA,NA
CHOYP_LOC589108.1.2.m.9688,-0.00395062487234343,0.00226924712604591,No,NA,NA,Q4V7T8,NA,NA,NA,motile cilium [GO:0031514],NA,NA,NA
CHOYP_LOC589108.2.2.m.48073,0.00467545830335937,0.00183993550803746,No,NA,NA,Q969T9,NA,NA,NA,cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; chromatin DNA binding [GO:0031490]; estrogen receptor binding [GO:0030331]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; cellular response to estrogen stimulus [GO:0071391]; establishment of protein localization [GO:0045184]; positive regulation of gene expression; epigenetic [GO:0045815]; positive regulation of histone H3-K14 acetylation [GO:0071442]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone receptor signaling pathway [GO:0050847]; response to estrogen [GO:0043627]; response to progesterone [GO:0032570],NA,NA,NA
CHOYP_LOC589177.1.1.m.52878,-0.002455986337845,0.0025675852382166,No,NA,NA,Q5U2V4,NA,NA,NA,extracellular space [GO:0005615]; lysosome [GO:0005764]; hydrolase activity [GO:0016787]; lipid catabolic process [GO:0016042],NA,NA,NA
CHOYP_LOC589201.1.1.m.59863,-0.00360528235650365,0.0024903309816336,No,NA,NA,F1N9Y5,NA,NA,NA,cytosol [GO:0005829]; early phagosome [GO:0032009]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; adaptive immune response [GO:0002250]; B cell receptor signaling pathway [GO:0050853]; blood vessel morphogenesis [GO:0048514]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to molecule of fungal origin [GO:0071226]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; leukocyte activation involved in immune response [GO:0002366]; leukocyte cell-cell adhesion [GO:0007159]; lymph vessel development [GO:0001945]; macrophage activation involved in immune response [GO:0002281]; neutrophil activation involved in immune response [GO:0002283]; neutrophil chemotaxis [GO:0030593]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of bone resorption [GO:0045780]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of mast cell degranulation [GO:0043306]; protein phosphorylation [GO:0006468]; regulation of arachidonic acid secretion [GO:0090237]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of neutrophil degranulation [GO:0043313]; regulation of phagocytosis [GO:0050764]; regulation of platelet activation [GO:0010543]; regulation of platelet aggregation [GO:0090330]; regulation of superoxide anion generation [GO:0032928]; serotonin secretion by platelet [GO:0002554],NA,NA,NA
CHOYP_LOC589390.1.1.m.11589,-0.00293901775395721,0.00398994219503792,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC589479.2.2.m.57247,-0.00616051611500572,4.75884514284129e-06,No,NA,NA,Q9JLI7,NA,NA,NA,axonemal central apparatus [GO:1990716]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; sperm principal piece [GO:0097228]; flagellated sperm motility [GO:0030317]; sperm axoneme assembly [GO:0007288]; ventricular system development [GO:0021591],NA,NA,NA
CHOYP_LOC589644.2.3.m.21781,-0.000507266020404866,0.0167704297611264,No,NA,NA,Q96RW7,NA,NA,NA,basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell-cell adherens junction [GO:0005913]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; extracellular matrix structural constituent [GO:0005201]; protein homodimerization activity [GO:0042803]; signaling receptor activity [GO:0038023]; cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601],NA,NA,NA
CHOYP_LOC589720.1.1.m.63687,-0.000354344736864814,0.00634790932894185,No,NA,NA,Q9UHV9,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; prefoldin complex [GO:0016272]; protein binding involved in protein folding [GO:0044183]; unfolded protein binding [GO:0051082]; positive regulation of cytoskeleton organization [GO:0051495]; protein folding [GO:0006457],NA,NA,NA
CHOYP_LOC589750.3.5.m.42967,0,0,No,NA,NA,Q5F478,NA,NA,NA,,NA,NA,NA
CHOYP_LOC589839.1.1.m.29309,-0.00603495255906886,-0.00384062891140008,No,NA,NA,Q5XX13,NA,NA,NA,cytosol [GO:0005829]; ubiquitin-protein transferase activity [GO:0004842]; post-translational protein modification [GO:0043687]; protein polyubiquitination [GO:0000209],NA,NA,NA
CHOYP_LOC589952.1.5.m.2235,-0.0221773736535958,0.0260285984261587,No,NA,NA,Q2TBI0,NA,NA,NA,extracellular space [GO:0005615]; membrane [GO:0016020]; lipopolysaccharide binding [GO:0001530]; acute-phase response [GO:0006953]; cellular response to lipopolysaccharide [GO:0071222]; defense response to Gram-negative bacterium [GO:0050829]; innate immune response [GO:0045087]; lipid transport [GO:0006869]; macrophage activation involved in immune response [GO:0002281]; positive regulation of tumor necrosis factor production [GO:0032760],NA,NA,NA
CHOYP_LOC589952.2.5.m.21623,-0.0105330630389816,0.013232660347055,No,NA,NA,Q2TBI0,NA,NA,NA,extracellular space [GO:0005615]; membrane [GO:0016020]; lipopolysaccharide binding [GO:0001530]; acute-phase response [GO:0006953]; cellular response to lipopolysaccharide [GO:0071222]; defense response to Gram-negative bacterium [GO:0050829]; innate immune response [GO:0045087]; lipid transport [GO:0006869]; macrophage activation involved in immune response [GO:0002281]; positive regulation of tumor necrosis factor production [GO:0032760],NA,NA,NA
CHOYP_LOC589952.3.5.m.29284,-0.00859584020116336,-0.0104529148936917,No,NA,NA,Q61805,NA,NA,NA,cell surface [GO:0009986]; extracellular space [GO:0005615]; membrane [GO:0016020]; lipopeptide binding [GO:0071723]; lipopolysaccharide binding [GO:0001530]; lipoteichoic acid binding [GO:0070891]; signaling receptor binding [GO:0005102]; acute-phase response [GO:0006953]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; detection of molecule of bacterial origin [GO:0032490]; innate immune response [GO:0045087]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; lipopolysaccharide transport [GO:0015920]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macromolecule localization [GO:0033036]; macrophage activation involved in immune response [GO:0002281]; negative regulation of growth of symbiont in host [GO:0044130]; negative regulation of tumor necrosis factor production [GO:0032720]; opsonization [GO:0008228]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytolysis [GO:0045919]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of macrophage activation [GO:0043032]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of phagocytosis; engulfment [GO:0060100]; positive regulation of respiratory burst involved in inflammatory response [GO:0060265]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of membrane permeability [GO:0090559]; response to lipopolysaccharide [GO:0032496],NA,NA,NA
CHOYP_LOC589952.4.5.m.31147,-0.0191338051513706,0.0127775371342933,No,NA,NA,Q61805,NA,NA,NA,cell surface [GO:0009986]; extracellular space [GO:0005615]; membrane [GO:0016020]; lipopeptide binding [GO:0071723]; lipopolysaccharide binding [GO:0001530]; lipoteichoic acid binding [GO:0070891]; signaling receptor binding [GO:0005102]; acute-phase response [GO:0006953]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; detection of molecule of bacterial origin [GO:0032490]; innate immune response [GO:0045087]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; lipopolysaccharide transport [GO:0015920]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macromolecule localization [GO:0033036]; macrophage activation involved in immune response [GO:0002281]; negative regulation of growth of symbiont in host [GO:0044130]; negative regulation of tumor necrosis factor production [GO:0032720]; opsonization [GO:0008228]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytolysis [GO:0045919]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of macrophage activation [GO:0043032]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of phagocytosis; engulfment [GO:0060100]; positive regulation of respiratory burst involved in inflammatory response [GO:0060265]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of membrane permeability [GO:0090559]; response to lipopolysaccharide [GO:0032496],NA,NA,NA
CHOYP_LOC590125.6.7.m.53735,-0.00540566733553991,-0.00237557067464426,No,NA,NA,B3EWY9,NA,NA,NA,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; ErbB-2 class receptor binding [GO:0005176]; extracellular matrix constituent; lubricant activity [GO:0030197]; cell-matrix adhesion [GO:0007160]; epithelial structure maintenance [GO:0010669]; regulation of signaling receptor activity [GO:0010469],NA,NA,NA
CHOYP_LOC590298.2.3.m.4191,0.0130394642539237,-0.00651956375328749,No,NA,NA,P80109,NA,NA,NA,cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; high-density lipoprotein particle [GO:0034364]; intracellular membrane-bounded organelle [GO:0043231]; glycosylphosphatidylinositol phospholipase D activity [GO:0004621]; sodium channel regulator activity [GO:0017080]; cell migration involved in sprouting angiogenesis [GO:0002042]; cellular response to calcium ion [GO:0071277]; cellular response to cholesterol [GO:0071397]; cellular response to drug [GO:0035690]; cellular response to insulin stimulus [GO:0032869]; cellular response to pH [GO:0071467]; cellular response to triglyceride [GO:0071401]; chondrocyte differentiation [GO:0002062]; complement receptor mediated signaling pathway [GO:0002430]; GPI anchor release [GO:0006507]; insulin receptor signaling pathway [GO:0008286]; negative regulation of cell proliferation [GO:0008285]; negative regulation of triglyceride catabolic process [GO:0010897]; ossification [GO:0001503]; phosphatidylcholine metabolic process [GO:0046470]; positive regulation of alkaline phosphatase activity [GO:0010694]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cytolysis [GO:0045919]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of glucose metabolic process [GO:0010907]; positive regulation of high-density lipoprotein particle clearance [GO:0010983]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of secretion [GO:0051047]; positive regulation of triglyceride biosynthetic process [GO:0010867]; regulation of cellular response to insulin stimulus [GO:1900076]; response to glucose [GO:0009749]; transepithelial transport [GO:0070633],NA,NA,NA
CHOYP_LOC590567.1.1.m.29483,-0.0023362239522715,-0.0182375692992988,No,NA,NA,O02350,NA,NA,NA,extracellular space [GO:0005615]; metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; digestion [GO:0007586]; proteolysis [GO:0006508],NA,NA,NA
CHOYP_LOC590568.2.4.m.38593,0.00582436962198365,0.00342179447235517,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC590633.1.1.m.32259,-0.014553928377193,-0.00730414352716096,No,NA,NA,Q3UMR0,NA,NA,NA,cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; early endosome [GO:0005769]; late endosome [GO:0005770]; lysosome [GO:0005764]; melanosome [GO:0042470]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]; tubular endosome [GO:0097422]; GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; Rab GTPase binding [GO:0017137]; SNARE binding [GO:0000149]; early endosome to late endosome transport [GO:0045022]; endosome to melanosome transport [GO:0035646]; negative regulation of SNARE complex assembly [GO:0035544]; neuron projection morphogenesis [GO:0048812]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of neuron projection development [GO:0010976]; protein transport [GO:0015031]; retrograde transport; endosome to plasma membrane [GO:1990126],NA,NA,NA
CHOYP_LOC590657.1.1.m.633,-0.00484857820659069,-0.00132472679459823,No,NA,NA,Q8BZ25,NA,NA,NA,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674],NA,NA,NA
CHOYP_LOC590657.1.1.m.634,0.0146426571233973,-0.0160668627494406,No,NA,NA,Q6PIP5,NA,NA,NA,cytosol [GO:0005829]; nucleoplasm [GO:0005654],NA,NA,NA
CHOYP_LOC590729.1.1.m.35259,-0.0251255788519861,0.0194269733357964,No,NA,NA,Q2T9T9,NA,NA,NA,PeBoW complex [GO:0070545]; preribosome; large subunit precursor [GO:0030687],NA,NA,NA
CHOYP_LOC590756.2.6.m.28777,0.00622752136353767,-0.0031179561094288,No,NA,NA,Q86XZ4,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; RNA binding [GO:0003723],NA,NA,NA
CHOYP_LOC590756.3.6.m.40372,0.0107153788633765,-0.00313559316879449,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC590756.4.6.m.48555,-0.0205481034426954,0.0158550046290371,No,NA,NA,A7MBP4,NA,NA,NA,centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; intraciliary transport particle B [GO:0030992]; cilium assembly [GO:0060271]; determination of ventral identity [GO:0048264]; intraciliary transport [GO:0042073]; pronephros development [GO:0048793]; retina development in camera-type eye [GO:0060041],NA,NA,NA
CHOYP_LOC590931.1.1.m.7446,-0.0191183528866143,0.0110144469905284,No,NA,NA,Q6PGZ3,NA,NA,NA,centrosome [GO:0005813]; cilium [GO:0005929]; cytoplasm [GO:0005737]; intraciliary transport particle B [GO:0030992]; microtubule binding [GO:0008017]; camera-type eye development [GO:0043010]; cilium assembly [GO:0060271]; intraciliary transport [GO:0042073]; pronephros development [GO:0048793]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of microtubule polymerization [GO:0031113],NA,NA,NA
CHOYP_LOC590949.1.2.m.13540,-0.0102518375562289,0.00149115188941489,No,NA,NA,P27987,NA,NA,NA,cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; inositol-1;4;5-trisphosphate 3-kinase activity [GO:0008440]; cell surface receptor signaling pathway [GO:0007166]; cellular response to calcium ion [GO:0071277]; common myeloid progenitor cell proliferation [GO:0035726]; inositol phosphate biosynthetic process [GO:0032958]; inositol phosphate metabolic process [GO:0043647]; inositol trisphosphate metabolic process [GO:0032957]; MAPK cascade [GO:0000165]; myeloid cell homeostasis [GO:0002262]; negative regulation of myeloid cell differentiation [GO:0045638]; negative regulation of neutrophil apoptotic process [GO:0033030]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of Ras protein signal transduction [GO:0046579]; positive thymic T cell selection [GO:0045059]; regulation of protein phosphorylation [GO:0001932]; signal transduction [GO:0007165],NA,NA,NA
CHOYP_LOC590969.1.1.m.15822,0.000731683610572902,0.00772842135924299,No,NA,NA,Q9Z160,NA,NA,NA,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031],NA,NA,NA
CHOYP_LOC590971.1.1.m.30661,0.00290404710181486,-0.00189492270811301,No,NA,NA,O43175,NA,NA,NA,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; myelin sheath [GO:0043209]; electron transfer activity [GO:0009055]; L-malate dehydrogenase activity [GO:0030060]; NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; brain development [GO:0007420]; cellular amino acid metabolic process [GO:0006520]; G1 to G0 transition [GO:0070314]; gamma-aminobutyric acid metabolic process [GO:0009448]; glial cell development [GO:0021782]; glutamine metabolic process [GO:0006541]; glycine metabolic process [GO:0006544]; L-serine biosynthetic process [GO:0006564]; neural tube development [GO:0021915]; neuron projection development [GO:0031175]; regulation of gene expression [GO:0010468]; spinal cord development [GO:0021510]; taurine metabolic process [GO:0019530]; threonine metabolic process [GO:0006566],NA,NA,NA
CHOYP_LOC590989.3.3.m.32047,0.00153099931279193,-0.00866689082744683,No,NA,NA,Q6J6I8,NA,NA,NA,BRCA1-A complex [GO:0070531]; BRCA1-BARD1 complex [GO:0031436]; chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063]; transcription coactivator activity [GO:0003713]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; cell cycle [GO:0007049]; chordate embryonic development [GO:0043009]; dosage compensation by inactivation of X chromosome [GO:0009048]; double-strand break repair via homologous recombination [GO:0000724]; fatty acid biosynthetic process [GO:0006633]; negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of histone acetylation [GO:0035067]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of histone acetylation [GO:0035066]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription; DNA-templated [GO:0045893]; protein autoubiquitination [GO:0051865]; protein K6-linked ubiquitination [GO:0085020]; regulation of transcription by RNA polymerase II [GO:0006357],NA,NA,NA
CHOYP_LOC591073.1.1.m.50375,-0.0197782218832012,-0.00903949101482169,No,NA,NA,Q5XHC1,NA,NA,NA,centrosome [GO:0005813]; cytoplasm [GO:0005737],NA,NA,NA
CHOYP_LOC591084.2.2.m.59355,0.00165350399259838,-0.00370373758426974,No,NA,NA,Q8BRH4,NA,NA,NA,histone methyltransferase complex [GO:0035097]; MLL3/4 complex [GO:0044666]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; histone binding [GO:0042393]; histone methyltransferase activity (H3-K4 specific) [GO:0042800]; metal ion binding [GO:0046872]; transcription coactivator activity [GO:0003713]; transferase activity; transferring acyl groups [GO:0016746]; eyelid development in camera-type eye [GO:0061029]; histone methylation [GO:0016571]; multicellular organism growth [GO:0035264]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; single fertilization [GO:0007338],NA,NA,NA
CHOYP_LOC591177.1.1.m.1476,0.00748210375107668,-0.013242201644827,No,NA,NA,Q8K0U4,NA,NA,NA,ATP binding [GO:0005524],NA,NA,NA
CHOYP_LOC591426.1.1.m.19353,-0.00337913198671264,0.00478404172175629,No,NA,NA,Q9UGU0,NA,NA,NA,nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; transcription regulatory region DNA binding [GO:0044212]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription; DNA-templated [GO:0006355],NA,NA,NA
CHOYP_LOC591426.1.1.m.19354,0.00503855856969202,-0.00643404798512679,No,NA,NA,Q9Y6D9,NA,NA,NA,centrosome [GO:0005813]; condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic spindle [GO:0072686]; nuclear envelope [GO:0005635]; nuclear pore nuclear basket [GO:0044615]; spindle [GO:0005819]; spindle pole [GO:0000922]; identical protein binding [GO:0042802]; kinetochore binding [GO:0043515]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; mitotic cell cycle checkpoint [GO:0007093]; mitotic spindle assembly checkpoint [GO:0007094]; negative regulation of T cell proliferation [GO:0042130]; regulation of metaphase plate congression [GO:0090235]; thymus development [GO:0048538],NA,NA,NA
CHOYP_LOC591441.1.1.m.19965,0.0107215176029008,-0.00522258878856822,No,NA,NA,Q6PFY8,NA,NA,NA,cytosol [GO:0005829]; intercellular bridge [GO:0045171]; nucleoplasm [GO:0005654]; zinc ion binding [GO:0008270]; bone development [GO:0060348],NA,NA,NA
CHOYP_LOC591570.1.1.m.4767,-0.0028956089002019,-0.00323496286342571,No,NA,NA,Q2T9W3,NA,NA,NA,axoneme [GO:0005930]; cilium movement [GO:0003341]; outer dynein arm assembly [GO:0036158]; spermatid development [GO:0007286],NA,NA,NA
CHOYP_LOC591690.1.1.m.30550,0.000848848396059013,-0.00166554098394329,No,NA,NA,Q4R4T9,NA,NA,NA,cytoplasm [GO:0005737]; nucleus [GO:0005634]; intracellular transport [GO:0046907]; protein transport [GO:0015031],NA,NA,NA
CHOYP_LOC591797.1.3.m.11526,-0.00841519029266776,-0.00869057478329938,No,NA,NA,Q60596,NA,NA,NA,ERCC4-ERCC1 complex [GO:0070522]; nuclear chromatin [GO:0000790]; nuclear chromosome; telomeric region [GO:0000784]; nucleolus [GO:0005730]; nucleus [GO:0005634]; enzyme binding [GO:0019899]; oxidized DNA binding [GO:0032356]; base-excision repair [GO:0006284]; cerebellum morphogenesis [GO:0021587]; DNA repair [GO:0006281]; double-strand break repair via nonhomologous end joining [GO:0006303]; hippocampus development [GO:0021766]; negative regulation of protection from non-homologous end joining at telomere [GO:1905765]; negative regulation of protein ADP-ribosylation [GO:0010836]; positive regulation of DNA ligase activity [GO:1904877]; positive regulation of single strand break repair [GO:1903518]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; response to drug [GO:0042493]; response to hydroperoxide [GO:0033194]; response to hypoxia [GO:0001666]; response to organic substance [GO:0010033]; single strand break repair [GO:0000012]; telomeric DNA-containing double minutes formation [GO:0061819]; voluntary musculoskeletal movement [GO:0050882],NA,NA,NA
CHOYP_LOC591797.1.3.m.11527,-0.00361801855067767,0.00286886252473091,No,NA,NA,P22232,NA,NA,NA,nucleolus [GO:0005730]; histone-glutamine methyltransferase activity [GO:1990259]; RNA binding [GO:0003723]; histone glutamine methylation [GO:1990258]; rRNA processing [GO:0006364],NA,NA,NA
CHOYP_LOC591898.1.2.m.28918,0.0192704324487071,-0.00974475685740705,No,NA,NA,P70684,NA,NA,NA,cytoplasm [GO:0005737]; 15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; catalytic activity [GO:0003824]; NAD binding [GO:0051287]; NAD+ binding [GO:0070403]; prostaglandin E receptor activity [GO:0004957]; ductus arteriosus closure [GO:0097070]; female pregnancy [GO:0007565]; negative regulation of cell cycle [GO:0045786]; ovulation [GO:0030728]; parturition [GO:0007567]; prostaglandin metabolic process [GO:0006693]; thrombin-activated receptor signaling pathway [GO:0070493]; transforming growth factor beta receptor signaling pathway [GO:0007179],NA,NA,NA
CHOYP_LOC591898.2.2.m.29158,0.00269016469100063,0.0117469494501708,No,NA,NA,P70684,NA,NA,NA,cytoplasm [GO:0005737]; 15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; catalytic activity [GO:0003824]; NAD binding [GO:0051287]; NAD+ binding [GO:0070403]; prostaglandin E receptor activity [GO:0004957]; ductus arteriosus closure [GO:0097070]; female pregnancy [GO:0007565]; negative regulation of cell cycle [GO:0045786]; ovulation [GO:0030728]; parturition [GO:0007567]; prostaglandin metabolic process [GO:0006693]; thrombin-activated receptor signaling pathway [GO:0070493]; transforming growth factor beta receptor signaling pathway [GO:0007179],NA,NA,NA
